point_name,building,unit,system,variable,source_type,protocol_preferred,address_type,address,data_type,engineering_unit,polling_seconds,writable,active
A_A302_ROOM_HUMIDITY_RH,A,A302,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10008,float,%,30,false,true
A_A303_ROOM_ELECTRICITY_KWH,A,A303,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,21,float,kWh,30,false,true
A_A303_ROOM_WATER_COLD_M3,A,A303,ROOM,WATER_COLD_M3,room,modbus,holding_register,23,float,m3,30,false,true
A_A303_ROOM_WATER_HOT_M3,A,A303,ROOM,WATER_HOT_M3,room,modbus,holding_register,25,float,m3,30,false,true
A_A303_ROOM_FC_KWH,A,A303,ROOM,FC_KWH,room,modbus,holding_register,27,float,kWh,30,false,true
A_A303_ROOM_RETURN_TEMP_C,A,A303,ROOM,RETURN_TEMP_C,room,modbus,holding_register,29,float,C,30,false,true
A_A303_ROOM_LEAK_ALARM,A,A303,ROOM,LEAK_ALARM,room,bacnet,object_instance,10009,bool,bool,30,false,true
A_A303_ROOM_OCCUPANCY,A,A303,ROOM,OCCUPANCY,room,bacnet,object_instance,10010,bool,bool,30,false,true
A_A303_ROOM_SETPOINT_C,A,A303,ROOM,SETPOINT_C,room,bacnet,object_instance,10011,float,C,30,false,true
A_A303_ROOM_HUMIDITY_RH,A,A303,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10012,float,%,30,false,true
A_A304_ROOM_ELECTRICITY_KWH,A,A304,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,31,float,kWh,30,false,true
A_A304_ROOM_WATER_COLD_M3,A,A304,ROOM,WATER_COLD_M3,room,modbus,holding_register,33,float,m3,30,false,true
A_A304_ROOM_WATER_HOT_M3,A,A304,ROOM,WATER_HOT_M3,room,modbus,holding_register,35,float,m3,30,false,true
A_A304_ROOM_FC_KWH,A,A304,ROOM,FC_KWH,room,modbus,holding_register,37,float,kWh,30,false,true
A_A304_ROOM_RETURN_TEMP_C,A,A304,ROOM,RETURN_TEMP_C,room,modbus,holding_register,39,float,C,30,false,true
A_A304_ROOM_LEAK_ALARM,A,A304,ROOM,LEAK_ALARM,room,bacnet,object_instance,10013,bool,bool,30,false,true
A_A304_ROOM_OCCUPANCY,A,A304,ROOM,OCCUPANCY,room,bacnet,object_instance,10014,bool,bool,30,false,true
A_A304_ROOM_SETPOINT_C,A,A304,ROOM,SETPOINT_C,room,bacnet,object_instance,10015,float,C,30,false,true
A_A304_ROOM_HUMIDITY_RH,A,A304,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10016,float,%,30,false,true
A_A305_ROOM_ELECTRICITY_KWH,A,A305,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,41,float,kWh,30,false,true
A_A305_ROOM_WATER_COLD_M3,A,A305,ROOM,WATER_COLD_M3,room,modbus,holding_register,43,float,m3,30,false,true
A_A305_ROOM_WATER_HOT_M3,A,A305,ROOM,WATER_HOT_M3,room,modbus,holding_register,45,float,m3,30,false,true
A_A305_ROOM_FC_KWH,A,A305,ROOM,FC_KWH,room,modbus,holding_register,47,float,kWh,30,false,true
A_A305_ROOM_RETURN_TEMP_C,A,A305,ROOM,RETURN_TEMP_C,room,modbus,holding_register,49,float,C,30,false,true
A_A305_ROOM_LEAK_ALARM,A,A305,ROOM,LEAK_ALARM,room,bacnet,object_instance,10017,bool,bool,30,false,true
A_A305_ROOM_OCCUPANCY,A,A305,ROOM,OCCUPANCY,room,bacnet,object_instance,10018,bool,bool,30,false,true
A_A305_ROOM_SETPOINT_C,A,A305,ROOM,SETPOINT_C,room,bacnet,object_instance,10019,float,C,30,false,true
A_A305_ROOM_HUMIDITY_RH,A,A305,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10020,float,%,30,false,true
A_A306_ROOM_ELECTRICITY_KWH,A,A306,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,51,float,kWh,30,false,true
A_A306_ROOM_WATER_COLD_M3,A,A306,ROOM,WATER_COLD_M3,room,modbus,holding_register,53,float,m3,30,false,true
A_A306_ROOM_WATER_HOT_M3,A,A306,ROOM,WATER_HOT_M3,room,modbus,holding_register,55,float,m3,30,false,true
A_A306_ROOM_FC_KWH,A,A306,ROOM,FC_KWH,room,modbus,holding_register,57,float,kWh,30,false,true
A_A306_ROOM_RETURN_TEMP_C,A,A306,ROOM,RETURN_TEMP_C,room,modbus,holding_register,59,float,C,30,false,true
A_A306_ROOM_LEAK_ALARM,A,A306,ROOM,LEAK_ALARM,room,bacnet,object_instance,10021,bool,bool,30,false,true
A_A306_ROOM_OCCUPANCY,A,A306,ROOM,OCCUPANCY,room,bacnet,object_instance,10022,bool,bool,30,false,true
A_A306_ROOM_SETPOINT_C,A,A306,ROOM,SETPOINT_C,room,bacnet,object_instance,10023,float,C,30,false,true
A_A306_ROOM_HUMIDITY_RH,A,A306,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10024,float,%,30,false,true
A_A307_ROOM_ELECTRICITY_KWH,A,A307,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,61,float,kWh,30,false,true
A_A307_ROOM_WATER_COLD_M3,A,A307,ROOM,WATER_COLD_M3,room,modbus,holding_register,63,float,m3,30,false,true
A_A307_ROOM_WATER_HOT_M3,A,A307,ROOM,WATER_HOT_M3,room,modbus,holding_register,65,float,m3,30,false,true
A_A307_ROOM_FC_KWH,A,A307,ROOM,FC_KWH,room,modbus,holding_register,67,float,kWh,30,false,true
A_A307_ROOM_RETURN_TEMP_C,A,A307,ROOM,RETURN_TEMP_C,room,modbus,holding_register,69,float,C,30,false,true
A_A307_ROOM_LEAK_ALARM,A,A307,ROOM,LEAK_ALARM,room,bacnet,object_instance,10025,bool,bool,30,false,true
A_A307_ROOM_OCCUPANCY,A,A307,ROOM,OCCUPANCY,room,bacnet,object_instance,10026,bool,bool,30,false,true
A_A307_ROOM_SETPOINT_C,A,A307,ROOM,SETPOINT_C,room,bacnet,object_instance,10027,float,C,30,false,true
A_A307_ROOM_HUMIDITY_RH,A,A307,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10028,float,%,30,false,true
A_A308_ROOM_ELECTRICITY_KWH,A,A308,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,71,float,kWh,30,false,true
A_A308_ROOM_WATER_COLD_M3,A,A308,ROOM,WATER_COLD_M3,room,modbus,holding_register,73,float,m3,30,false,true
A_A308_ROOM_WATER_HOT_M3,A,A308,ROOM,WATER_HOT_M3,room,modbus,holding_register,75,float,m3,30,false,true
A_A308_ROOM_FC_KWH,A,A308,ROOM,FC_KWH,room,modbus,holding_register,77,float,kWh,30,false,true
A_A308_ROOM_RETURN_TEMP_C,A,A308,ROOM,RETURN_TEMP_C,room,modbus,holding_register,79,float,C,30,false,true
A_A308_ROOM_LEAK_ALARM,A,A308,ROOM,LEAK_ALARM,room,bacnet,object_instance,10029,bool,bool,30,false,true
A_A308_ROOM_OCCUPANCY,A,A308,ROOM,OCCUPANCY,room,bacnet,object_instance,10030,bool,bool,30,false,true
A_A308_ROOM_SETPOINT_C,A,A308,ROOM,SETPOINT_C,room,bacnet,object_instance,10031,float,C,30,false,true
A_A308_ROOM_HUMIDITY_RH,A,A308,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10032,float,%,30,false,true
A_A309_ROOM_ELECTRICITY_KWH,A,A309,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,81,float,kWh,30,false,true
A_A309_ROOM_WATER_COLD_M3,A,A309,ROOM,WATER_COLD_M3,room,modbus,holding_register,83,float,m3,30,false,true
A_A309_ROOM_WATER_HOT_M3,A,A309,ROOM,WATER_HOT_M3,room,modbus,holding_register,85,float,m3,30,false,true
A_A309_ROOM_FC_KWH,A,A309,ROOM,FC_KWH,room,modbus,holding_register,87,float,kWh,30,false,true
A_A309_ROOM_RETURN_TEMP_C,A,A309,ROOM,RETURN_TEMP_C,room,modbus,holding_register,89,float,C,30,false,true
A_A309_ROOM_LEAK_ALARM,A,A309,ROOM,LEAK_ALARM,room,bacnet,object_instance,10033,bool,bool,30,false,true
A_A309_ROOM_OCCUPANCY,A,A309,ROOM,OCCUPANCY,room,bacnet,object_instance,10034,bool,bool,30,false,true
A_A309_ROOM_SETPOINT_C,A,A309,ROOM,SETPOINT_C,room,bacnet,object_instance,10035,float,C,30,false,true
A_A309_ROOM_HUMIDITY_RH,A,A309,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10036,float,%,30,false,true
A_A310_ROOM_ELECTRICITY_KWH,A,A310,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,91,float,kWh,30,false,true
A_A310_ROOM_WATER_COLD_M3,A,A310,ROOM,WATER_COLD_M3,room,modbus,holding_register,93,float,m3,30,false,true
A_A310_ROOM_WATER_HOT_M3,A,A310,ROOM,WATER_HOT_M3,room,modbus,holding_register,95,float,m3,30,false,true
A_A310_ROOM_FC_KWH,A,A310,ROOM,FC_KWH,room,modbus,holding_register,97,float,kWh,30,false,true
A_A310_ROOM_RETURN_TEMP_C,A,A310,ROOM,RETURN_TEMP_C,room,modbus,holding_register,99,float,C,30,false,true
A_A310_ROOM_LEAK_ALARM,A,A310,ROOM,LEAK_ALARM,room,bacnet,object_instance,10037,bool,bool,30,false,true
A_A310_ROOM_OCCUPANCY,A,A310,ROOM,OCCUPANCY,room,bacnet,object_instance,10038,bool,bool,30,false,true
A_A310_ROOM_SETPOINT_C,A,A310,ROOM,SETPOINT_C,room,bacnet,object_instance,10039,float,C,30,false,true
A_A310_ROOM_HUMIDITY_RH,A,A310,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10040,float,%,30,false,true
A_A311_ROOM_ELECTRICITY_KWH,A,A311,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,101,float,kWh,30,false,true
A_A311_ROOM_WATER_COLD_M3,A,A311,ROOM,WATER_COLD_M3,room,modbus,holding_register,103,float,m3,30,false,true
A_A311_ROOM_WATER_HOT_M3,A,A311,ROOM,WATER_HOT_M3,room,modbus,holding_register,105,float,m3,30,false,true
A_A311_ROOM_FC_KWH,A,A311,ROOM,FC_KWH,room,modbus,holding_register,107,float,kWh,30,false,true
A_A311_ROOM_RETURN_TEMP_C,A,A311,ROOM,RETURN_TEMP_C,room,modbus,holding_register,109,float,C,30,false,true
A_A311_ROOM_LEAK_ALARM,A,A311,ROOM,LEAK_ALARM,room,bacnet,object_instance,10041,bool,bool,30,false,true
A_A311_ROOM_OCCUPANCY,A,A311,ROOM,OCCUPANCY,room,bacnet,object_instance,10042,bool,bool,30,false,true
A_A311_ROOM_SETPOINT_C,A,A311,ROOM,SETPOINT_C,room,bacnet,object_instance,10043,float,C,30,false,true
A_A311_ROOM_HUMIDITY_RH,A,A311,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10044,float,%,30,false,true
A_A312_ROOM_ELECTRICITY_KWH,A,A312,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,111,float,kWh,30,false,true
A_A312_ROOM_WATER_COLD_M3,A,A312,ROOM,WATER_COLD_M3,room,modbus,holding_register,113,float,m3,30,false,true
A_A312_ROOM_WATER_HOT_M3,A,A312,ROOM,WATER_HOT_M3,room,modbus,holding_register,115,float,m3,30,false,true
A_A312_ROOM_FC_KWH,A,A312,ROOM,FC_KWH,room,modbus,holding_register,117,float,kWh,30,false,true
A_A312_ROOM_RETURN_TEMP_C,A,A312,ROOM,RETURN_TEMP_C,room,modbus,holding_register,119,float,C,30,false,true
A_A312_ROOM_LEAK_ALARM,A,A312,ROOM,LEAK_ALARM,room,bacnet,object_instance,10045,bool,bool,30,false,true
A_A312_ROOM_OCCUPANCY,A,A312,ROOM,OCCUPANCY,room,bacnet,object_instance,10046,bool,bool,30,false,true
A_A312_ROOM_SETPOINT_C,A,A312,ROOM,SETPOINT_C,room,bacnet,object_instance,10047,float,C,30,false,true
A_A312_ROOM_HUMIDITY_RH,A,A312,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10048,float,%,30,false,true
A_A313_ROOM_ELECTRICITY_KWH,A,A313,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,121,float,kWh,30,false,true
A_A313_ROOM_WATER_COLD_M3,A,A313,ROOM,WATER_COLD_M3,room,modbus,holding_register,123,float,m3,30,false,true
A_A313_ROOM_WATER_HOT_M3,A,A313,ROOM,WATER_HOT_M3,room,modbus,holding_register,125,float,m3,30,false,true
A_A313_ROOM_FC_KWH,A,A313,ROOM,FC_KWH,room,modbus,holding_register,127,float,kWh,30,false,true
A_A313_ROOM_RETURN_TEMP_C,A,A313,ROOM,RETURN_TEMP_C,room,modbus,holding_register,129,float,C,30,false,true
A_A313_ROOM_LEAK_ALARM,A,A313,ROOM,LEAK_ALARM,room,bacnet,object_instance,10049,bool,bool,30,false,true
A_A313_ROOM_OCCUPANCY,A,A313,ROOM,OCCUPANCY,room,bacnet,object_instance,10050,bool,bool,30,false,true
A_A313_ROOM_SETPOINT_C,A,A313,ROOM,SETPOINT_C,room,bacnet,object_instance,10051,float,C,30,false,true
A_A313_ROOM_HUMIDITY_RH,A,A313,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10052,float,%,30,false,true
A_A314_ROOM_ELECTRICITY_KWH,A,A314,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,131,float,kWh,30,false,true
A_A314_ROOM_WATER_COLD_M3,A,A314,ROOM,WATER_COLD_M3,room,modbus,holding_register,133,float,m3,30,false,true
A_A314_ROOM_WATER_HOT_M3,A,A314,ROOM,WATER_HOT_M3,room,modbus,holding_register,135,float,m3,30,false,true
A_A314_ROOM_FC_KWH,A,A314,ROOM,FC_KWH,room,modbus,holding_register,137,float,kWh,30,false,true
A_A314_ROOM_RETURN_TEMP_C,A,A314,ROOM,RETURN_TEMP_C,room,modbus,holding_register,139,float,C,30,false,true
A_A314_ROOM_LEAK_ALARM,A,A314,ROOM,LEAK_ALARM,room,bacnet,object_instance,10053,bool,bool,30,false,true
A_A314_ROOM_OCCUPANCY,A,A314,ROOM,OCCUPANCY,room,bacnet,object_instance,10054,bool,bool,30,false,true
A_A314_ROOM_SETPOINT_C,A,A314,ROOM,SETPOINT_C,room,bacnet,object_instance,10055,float,C,30,false,true
A_A314_ROOM_HUMIDITY_RH,A,A314,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10056,float,%,30,false,true
A_A315_ROOM_ELECTRICITY_KWH,A,A315,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,141,float,kWh,30,false,true
A_A315_ROOM_WATER_COLD_M3,A,A315,ROOM,WATER_COLD_M3,room,modbus,holding_register,143,float,m3,30,false,true
A_A315_ROOM_WATER_HOT_M3,A,A315,ROOM,WATER_HOT_M3,room,modbus,holding_register,145,float,m3,30,false,true
A_A315_ROOM_FC_KWH,A,A315,ROOM,FC_KWH,room,modbus,holding_register,147,float,kWh,30,false,true
A_A315_ROOM_RETURN_TEMP_C,A,A315,ROOM,RETURN_TEMP_C,room,modbus,holding_register,149,float,C,30,false,true
A_A315_ROOM_LEAK_ALARM,A,A315,ROOM,LEAK_ALARM,room,bacnet,object_instance,10057,bool,bool,30,false,true
A_A315_ROOM_OCCUPANCY,A,A315,ROOM,OCCUPANCY,room,bacnet,object_instance,10058,bool,bool,30,false,true
A_A315_ROOM_SETPOINT_C,A,A315,ROOM,SETPOINT_C,room,bacnet,object_instance,10059,float,C,30,false,true
A_A315_ROOM_HUMIDITY_RH,A,A315,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10060,float,%,30,false,true
A_A316_ROOM_ELECTRICITY_KWH,A,A316,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,151,float,kWh,30,false,true
A_A316_ROOM_WATER_COLD_M3,A,A316,ROOM,WATER_COLD_M3,room,modbus,holding_register,153,float,m3,30,false,true
A_A316_ROOM_WATER_HOT_M3,A,A316,ROOM,WATER_HOT_M3,room,modbus,holding_register,155,float,m3,30,false,true
A_A316_ROOM_FC_KWH,A,A316,ROOM,FC_KWH,room,modbus,holding_register,157,float,kWh,30,false,true
A_A316_ROOM_RETURN_TEMP_C,A,A316,ROOM,RETURN_TEMP_C,room,modbus,holding_register,159,float,C,30,false,true
A_A316_ROOM_LEAK_ALARM,A,A316,ROOM,LEAK_ALARM,room,bacnet,object_instance,10061,bool,bool,30,false,true
A_A316_ROOM_OCCUPANCY,A,A316,ROOM,OCCUPANCY,room,bacnet,object_instance,10062,bool,bool,30,false,true
A_A316_ROOM_SETPOINT_C,A,A316,ROOM,SETPOINT_C,room,bacnet,object_instance,10063,float,C,30,false,true
A_A316_ROOM_HUMIDITY_RH,A,A316,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10064,float,%,30,false,true
A_A317_ROOM_ELECTRICITY_KWH,A,A317,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,161,float,kWh,30,false,true
A_A317_ROOM_WATER_COLD_M3,A,A317,ROOM,WATER_COLD_M3,room,modbus,holding_register,163,float,m3,30,false,true
A_A317_ROOM_WATER_HOT_M3,A,A317,ROOM,WATER_HOT_M3,room,modbus,holding_register,165,float,m3,30,false,true
A_A317_ROOM_FC_KWH,A,A317,ROOM,FC_KWH,room,modbus,holding_register,167,float,kWh,30,false,true
A_A317_ROOM_RETURN_TEMP_C,A,A317,ROOM,RETURN_TEMP_C,room,modbus,holding_register,169,float,C,30,false,true
A_A317_ROOM_LEAK_ALARM,A,A317,ROOM,LEAK_ALARM,room,bacnet,object_instance,10065,bool,bool,30,false,true
A_A317_ROOM_OCCUPANCY,A,A317,ROOM,OCCUPANCY,room,bacnet,object_instance,10066,bool,bool,30,false,true
A_A317_ROOM_SETPOINT_C,A,A317,ROOM,SETPOINT_C,room,bacnet,object_instance,10067,float,C,30,false,true
A_A317_ROOM_HUMIDITY_RH,A,A317,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10068,float,%,30,false,true
A_A318_ROOM_ELECTRICITY_KWH,A,A318,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,171,float,kWh,30,false,true
A_A318_ROOM_WATER_COLD_M3,A,A318,ROOM,WATER_COLD_M3,room,modbus,holding_register,173,float,m3,30,false,true
A_A318_ROOM_WATER_HOT_M3,A,A318,ROOM,WATER_HOT_M3,room,modbus,holding_register,175,float,m3,30,false,true
A_A318_ROOM_FC_KWH,A,A318,ROOM,FC_KWH,room,modbus,holding_register,177,float,kWh,30,false,true
A_A318_ROOM_RETURN_TEMP_C,A,A318,ROOM,RETURN_TEMP_C,room,modbus,holding_register,179,float,C,30,false,true
A_A318_ROOM_LEAK_ALARM,A,A318,ROOM,LEAK_ALARM,room,bacnet,object_instance,10069,bool,bool,30,false,true
A_A318_ROOM_OCCUPANCY,A,A318,ROOM,OCCUPANCY,room,bacnet,object_instance,10070,bool,bool,30,false,true
A_A318_ROOM_SETPOINT_C,A,A318,ROOM,SETPOINT_C,room,bacnet,object_instance,10071,float,C,30,false,true
A_A318_ROOM_HUMIDITY_RH,A,A318,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10072,float,%,30,false,true
A_A319_ROOM_ELECTRICITY_KWH,A,A319,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,181,float,kWh,30,false,true
A_A319_ROOM_WATER_COLD_M3,A,A319,ROOM,WATER_COLD_M3,room,modbus,holding_register,183,float,m3,30,false,true
A_A319_ROOM_WATER_HOT_M3,A,A319,ROOM,WATER_HOT_M3,room,modbus,holding_register,185,float,m3,30,false,true
A_A319_ROOM_FC_KWH,A,A319,ROOM,FC_KWH,room,modbus,holding_register,187,float,kWh,30,false,true
A_A319_ROOM_RETURN_TEMP_C,A,A319,ROOM,RETURN_TEMP_C,room,modbus,holding_register,189,float,C,30,false,true
A_A319_ROOM_LEAK_ALARM,A,A319,ROOM,LEAK_ALARM,room,bacnet,object_instance,10073,bool,bool,30,false,true
A_A319_ROOM_OCCUPANCY,A,A319,ROOM,OCCUPANCY,room,bacnet,object_instance,10074,bool,bool,30,false,true
A_A319_ROOM_SETPOINT_C,A,A319,ROOM,SETPOINT_C,room,bacnet,object_instance,10075,float,C,30,false,true
A_A319_ROOM_HUMIDITY_RH,A,A319,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10076,float,%,30,false,true
A_A401_ROOM_ELECTRICITY_KWH,A,A401,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,191,float,kWh,30,false,true
A_A401_ROOM_WATER_COLD_M3,A,A401,ROOM,WATER_COLD_M3,room,modbus,holding_register,193,float,m3,30,false,true
A_A401_ROOM_WATER_HOT_M3,A,A401,ROOM,WATER_HOT_M3,room,modbus,holding_register,195,float,m3,30,false,true
A_A401_ROOM_FC_KWH,A,A401,ROOM,FC_KWH,room,modbus,holding_register,197,float,kWh,30,false,true
A_A401_ROOM_RETURN_TEMP_C,A,A401,ROOM,RETURN_TEMP_C,room,modbus,holding_register,199,float,C,30,false,true
A_A401_ROOM_LEAK_ALARM,A,A401,ROOM,LEAK_ALARM,room,bacnet,object_instance,10077,bool,bool,30,false,true
A_A401_ROOM_OCCUPANCY,A,A401,ROOM,OCCUPANCY,room,bacnet,object_instance,10078,bool,bool,30,false,true
A_A401_ROOM_SETPOINT_C,A,A401,ROOM,SETPOINT_C,room,bacnet,object_instance,10079,float,C,30,false,true
A_A401_ROOM_HUMIDITY_RH,A,A401,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10080,float,%,30,false,true
A_A402_ROOM_ELECTRICITY_KWH,A,A402,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,201,float,kWh,30,false,true
A_A402_ROOM_WATER_COLD_M3,A,A402,ROOM,WATER_COLD_M3,room,modbus,holding_register,203,float,m3,30,false,true
A_A402_ROOM_WATER_HOT_M3,A,A402,ROOM,WATER_HOT_M3,room,modbus,holding_register,205,float,m3,30,false,true
A_A402_ROOM_FC_KWH,A,A402,ROOM,FC_KWH,room,modbus,holding_register,207,float,kWh,30,false,true
A_A402_ROOM_RETURN_TEMP_C,A,A402,ROOM,RETURN_TEMP_C,room,modbus,holding_register,209,float,C,30,false,true
A_A402_ROOM_LEAK_ALARM,A,A402,ROOM,LEAK_ALARM,room,bacnet,object_instance,10081,bool,bool,30,false,true
A_A402_ROOM_OCCUPANCY,A,A402,ROOM,OCCUPANCY,room,bacnet,object_instance,10082,bool,bool,30,false,true
A_A402_ROOM_SETPOINT_C,A,A402,ROOM,SETPOINT_C,room,bacnet,object_instance,10083,float,C,30,false,true
A_A402_ROOM_HUMIDITY_RH,A,A402,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10084,float,%,30,false,true
A_A403_ROOM_ELECTRICITY_KWH,A,A403,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,211,float,kWh,30,false,true
A_A403_ROOM_WATER_COLD_M3,A,A403,ROOM,WATER_COLD_M3,room,modbus,holding_register,213,float,m3,30,false,true
A_A403_ROOM_WATER_HOT_M3,A,A403,ROOM,WATER_HOT_M3,room,modbus,holding_register,215,float,m3,30,false,true
A_A403_ROOM_FC_KWH,A,A403,ROOM,FC_KWH,room,modbus,holding_register,217,float,kWh,30,false,true
A_A403_ROOM_RETURN_TEMP_C,A,A403,ROOM,RETURN_TEMP_C,room,modbus,holding_register,219,float,C,30,false,true
A_A403_ROOM_LEAK_ALARM,A,A403,ROOM,LEAK_ALARM,room,bacnet,object_instance,10085,bool,bool,30,false,true
A_A403_ROOM_OCCUPANCY,A,A403,ROOM,OCCUPANCY,room,bacnet,object_instance,10086,bool,bool,30,false,true
A_A403_ROOM_SETPOINT_C,A,A403,ROOM,SETPOINT_C,room,bacnet,object_instance,10087,float,C,30,false,true
A_A403_ROOM_HUMIDITY_RH,A,A403,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10088,float,%,30,false,true
A_A404_ROOM_ELECTRICITY_KWH,A,A404,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,221,float,kWh,30,false,true
A_A404_ROOM_WATER_COLD_M3,A,A404,ROOM,WATER_COLD_M3,room,modbus,holding_register,223,float,m3,30,false,true
A_A404_ROOM_WATER_HOT_M3,A,A404,ROOM,WATER_HOT_M3,room,modbus,holding_register,225,float,m3,30,false,true
A_A404_ROOM_FC_KWH,A,A404,ROOM,FC_KWH,room,modbus,holding_register,227,float,kWh,30,false,true
A_A404_ROOM_RETURN_TEMP_C,A,A404,ROOM,RETURN_TEMP_C,room,modbus,holding_register,229,float,C,30,false,true
A_A404_ROOM_LEAK_ALARM,A,A404,ROOM,LEAK_ALARM,room,bacnet,object_instance,10089,bool,bool,30,false,true
A_A404_ROOM_OCCUPANCY,A,A404,ROOM,OCCUPANCY,room,bacnet,object_instance,10090,bool,bool,30,false,true
A_A404_ROOM_SETPOINT_C,A,A404,ROOM,SETPOINT_C,room,bacnet,object_instance,10091,float,C,30,false,true
A_A404_ROOM_HUMIDITY_RH,A,A404,ROOM,HUMIDITY_RH,room,bacnet,object_instance,10092,float,%,30,false,true
A_A405_ROOM_ELECTRICITY_KWH,A,A405,ROOM,ELECTRICITY_KWH,room,modbus,holding_register,231,float,kWh,30,false,true
A_A405_ROOM_WATER_COLD_M3,A,A405,ROOM,WATER_COLD_M3,room,modbus,holding_register,233,float,m3,30,false,true
A_A405_ROOM_WATER_HOT_M3,A,A405,ROOM,WATER_HOT_M3,room,modbus,holding_register,235,float,m3,30,false,true
A_A405_ROOM_FC_KWH,A,A405,ROOM,FC_KWH,room,modbus,holding_register,237,float,kWh,30,false,true
